42 ns: U U UUUU UUUU UUUU
20202 ns: 1 0 1111 0000 0000
20244 ns: 1 0 1111 0000 0000
20286 ns: 1 0 1111 0000 0000
20328 ns: 1 0 1111 0000 0000
20370 ns: 1 0 1111 0000 0000
20412 ns: 1 0 1111 0000 0000
20454 ns: 1 0 1111 0000 0000
20496 ns: 1 0 1111 0000 0000
20538 ns: 1 0 1111 0000 0000
20580 ns: 1 0 1111 0000 0000
20622 ns: 1 0 1111 0000 0000
20664 ns: 1 0 1111 0000 0000
20706 ns: 1 0 1111 0000 0000
20748 ns: 1 0 1111 0000 0000
20790 ns: 1 0 1111 0000 0000
20832 ns: 1 0 1111 0000 0000
20874 ns: 1 0 1111 0000 0000
20916 ns: 1 0 1111 0000 0000
20958 ns: 1 0 1111 0000 0000
21000 ns: 1 0 1111 0000 0000
21042 ns: 1 0 1111 0000 0000
21084 ns: 1 0 1111 0000 0000
21126 ns: 1 0 1111 0000 0000
21168 ns: 1 0 1111 0000 0000
21210 ns: 1 0 1111 0000 0000
21252 ns: 1 0 1111 0000 0000
21294 ns: 1 0 1111 0000 0000
21336 ns: 1 0 1111 0000 0000
21378 ns: 1 0 1111 0000 0000
21420 ns: 1 0 1111 0000 0000
21462 ns: 1 0 1111 0000 0000
21504 ns: 1 0 1111 0000 0000
21546 ns: 1 0 1111 0000 0000
21588 ns: 1 0 1111 0000 0000
21630 ns: 1 0 1111 0000 0000
21672 ns: 1 0 1111 0000 0000
21714 ns: 1 0 1111 0000 0000
21756 ns: 1 0 1111 0000 0000
21798 ns: 1 0 1111 0000 0000
21840 ns: 1 0 1111 0000 0000
21882 ns: 1 0 1111 0000 0000
21924 ns: 1 0 1111 0000 0000
21966 ns: 1 0 1111 0000 0000
22008 ns: 1 0 1111 0000 0000
22050 ns: 1 0 1111 0000 0000
22092 ns: 1 0 1111 0000 0000
22134 ns: 1 0 1111 0000 0000
22176 ns: 1 0 1111 0000 0000
22218 ns: 1 0 1111 0000 0000
22260 ns: 1 0 1111 0000 0000
22302 ns: 1 0 1111 0000 0000
22344 ns: 1 0 1111 0000 0000
22386 ns: 1 0 1111 0000 0000
22428 ns: 1 0 1111 0000 0000
22470 ns: 1 0 1111 0000 0000
22512 ns: 1 0 1111 0000 0000
22554 ns: 1 0 1111 0000 0000
22596 ns: 1 0 1111 0000 0000
22638 ns: 1 0 1111 0000 0000
22680 ns: 1 0 1111 0000 0000
22722 ns: 1 0 1111 0000 0000
22764 ns: 1 0 1111 0000 0000
22806 ns: 1 0 1111 0000 0000
22848 ns: 1 0 1111 0000 0000
22890 ns: 1 0 1111 0000 0000
22932 ns: 1 0 1111 0000 0000
22974 ns: 1 0 1111 0000 0000
23016 ns: 1 0 1111 0000 0000
23058 ns: 1 0 1111 0000 0000
23100 ns: 1 0 1111 0000 0000
23142 ns: 1 0 1111 0000 0000
23184 ns: 1 0 1111 0000 0000
23226 ns: 1 0 1111 0000 0000
23268 ns: 1 0 1111 0000 0000
23310 ns: 1 0 1111 0000 0000
23352 ns: 1 0 1111 0000 0000
23394 ns: 1 0 1111 0000 0000
23436 ns: 1 0 1111 0000 0000
23478 ns: 1 0 1111 0000 0000
23520 ns: 1 0 1111 0000 0000
23562 ns: 1 0 1111 0000 0000
23604 ns: 1 0 1111 0000 0000
23646 ns: 1 0 1111 0000 0000
23688 ns: 1 0 1111 0000 0000
23730 ns: 1 0 1111 0000 0000
23772 ns: 1 0 1111 0000 0000
23814 ns: 1 0 1111 0000 0000
23856 ns: 1 0 1111 0000 0000
23898 ns: 1 0 1111 0000 0000
23940 ns: 1 0 1111 0000 0000
23982 ns: 1 0 1111 0000 0000
24024 ns: 1 0 1111 0000 0000
24066 ns: 1 0 1111 0000 0000
24108 ns: 1 0 1111 0000 0000
24150 ns: 1 0 1111 0000 0000
24192 ns: 1 0 1111 0000 0000
24234 ns: 1 0 1111 0000 0000
24276 ns: 1 0 1111 0000 0000
24318 ns: 1 0 1111 0000 0000
24360 ns: 1 0 1111 0000 0000
24402 ns: 1 0 1111 0000 0000
24444 ns: 1 0 1111 0000 0000
24486 ns: 1 0 1111 0000 0000
24528 ns: 1 0 1111 0000 0000
24570 ns: 1 0 1111 0000 0000
24612 ns: 1 0 1111 0000 0000
24654 ns: 1 0 1111 0000 0000
24696 ns: 1 0 1111 0000 0000
24738 ns: 1 0 1111 0000 0000
24780 ns: 1 0 1111 0000 0000
24822 ns: 1 0 1111 0000 0000
24864 ns: 1 0 1111 0000 0000
24906 ns: 1 0 1111 0000 0000
24948 ns: 1 0 1111 0000 0000
24990 ns: 1 0 1111 0000 0000
25032 ns: 1 0 1111 0000 0000
25074 ns: 1 0 1111 0000 0000
25116 ns: 1 0 1111 0000 0000
25158 ns: 1 0 1111 0000 0000
25200 ns: 1 0 1111 0000 0000
25242 ns: 1 0 1111 0000 0000
25284 ns: 1 0 1111 0000 0000
25326 ns: 1 0 1111 0000 0000
25368 ns: 1 0 1111 0000 0000
25410 ns: 1 0 1111 0000 0000
25452 ns: 1 0 1111 0000 0000
25494 ns: 1 0 1111 0000 0000
25536 ns: 1 0 1111 0000 0000
25578 ns: 1 0 1111 0000 0000
25620 ns: 1 0 1111 0000 0000
25662 ns: 1 0 1111 0000 0000
25704 ns: 1 0 1111 0000 0000
25746 ns: 1 0 1111 0000 0000
25788 ns: 1 0 1111 0000 0000
25830 ns: 1 0 1111 0000 0000
25872 ns: 1 0 1111 0000 0000
25914 ns: 1 0 1111 0000 0000
25956 ns: 1 0 1111 0000 0000
25998 ns: 1 0 1111 0000 0000
26040 ns: 1 0 1111 0000 0000
26082 ns: 1 0 1111 0000 0000
26124 ns: 1 0 1111 0000 0000
26166 ns: 1 0 1111 0000 0000
26208 ns: 1 0 1111 0000 0000
26250 ns: 1 0 1111 0000 0000
26292 ns: 1 0 1111 0000 0000
26334 ns: 1 0 1111 0000 0000
26376 ns: 1 0 1111 0000 0000
26418 ns: 1 0 1111 0000 0000
26460 ns: 1 0 1111 0000 0000
26502 ns: 1 0 1111 0000 0000
26544 ns: 1 0 1111 0000 0000
26586 ns: 1 0 1111 0000 0000
26628 ns: 1 0 1111 0000 0000
26670 ns: 1 0 1111 0000 0000
26712 ns: 1 0 1111 0000 0000
26754 ns: 1 0 1111 0000 0000
26796 ns: 1 0 1111 0000 0000
26838 ns: 1 0 1111 0000 0000
26880 ns: 1 0 1111 0000 0000
26922 ns: 1 0 0000 0000 0000
26964 ns: 1 0 0000 0000 0000
27006 ns: 1 0 0000 0000 0000
27048 ns: 1 0 0000 0000 0000
27090 ns: 1 0 0000 0000 0000
27132 ns: 1 0 0000 0000 0000
27174 ns: 1 0 0000 0000 0000
27216 ns: 1 0 0000 0000 0000
27258 ns: 1 0 0000 0000 0000
27300 ns: 1 0 0000 0000 0000
27342 ns: 1 0 0000 0000 0000
27384 ns: 1 0 0000 0000 0000
27426 ns: 1 0 0000 0000 0000
27468 ns: 1 0 0000 0000 0000
27510 ns: 1 0 0000 0000 0000
27552 ns: 1 0 0000 0000 0000
27594 ns: 0 0 0000 0000 0000
27636 ns: 0 0 0000 0000 0000
27678 ns: 0 0 0000 0000 0000
27720 ns: 0 0 0000 0000 0000
27762 ns: 0 0 0000 0000 0000
